ServiceName,Suburb,Postcode,NumberOfApprovedPlaces,OverallRating
Bulleen Preschool,BULLEEN,3105,30,Exceeding NQS
Vista Valley Kindergarten,BULLEEN,3105,29,Meeting NQS
Doncaster Park Kindergarten,DONCASTER,3108,30,Exceeding NQS
TRY Beverley Hills Preschool,DONCASTER EAST,3109,30,Meeting NQS
Doncaster East Preschool Centre,DONCASTER EAST,3109,29,Exceeding NQS
Tunstall Square Kindergarten,DONCASTER EAST,3109,28,Exceeding NQS
Catjump Preschool,DONCASTER EAST,3109,25,Exceeding NQS
Donvale Preschool,DONVALE,3111,28,Exceeding NQS
Park Orchards Kindergarten,PARK ORCHARDS,3114,30,Exceeding NQS
Templestowe Preschool,TEMPLESTOWE,3106,29,Meeting NQS
Yarra Valley Preschool,TEMPLESTOWE,3106,26,Exceeding NQS
Noni's Nursery,TEMPLESTOWE,3106,26,Meeting NQS
Templestowe Heights Preschool,TEMPLESTOWE LOWER,3107,30,Exceeding NQS
Twin Hills Preschool,TEMPLESTOWE LOWER,3107,29,Meeting NQS
Warrandyte Kindergarten,WARRANDYTE,3113,29,Exceeding NQS
Yarraleen Preschool,BULLEEN,3105,28,Exceeding NQS
Templestowe Valley Preschool,TEMPLESTOWE LOWER,3107,50,Meeting NQS
Kalker Montessori Centre,BULLEEN,3105,90,Exceeding NQS
Deep Creek Preschool,DONCASTER EAST,3109,30,Meeting NQS
Gumnut Gully Preschool,DONCASTER EAST,3109,27,Exceeding NQS
Doncaster East Daycare & Kindergarten,DONCASTER EAST,3109,45,Exceeding NQS
Doncaster Early Learning Child Care,DONCASTER,3108,45,Meeting NQS
Moresby Avenue Child Care Centre,BULLEEN,3105,39,Exceeding NQS
Warrandyte Child Care & Preschool Centre Co-op Ltd,WARRANDYTE,3113,38,Meeting NQS
Deep Creek Child Care Centre,DONCASTER EAST,3109,48,Exceeding NQS
Imagine Childcare and Kindergarten Templestowe,TEMPLESTOWE,3106,50,Meeting NQS
Carey Early Learning Centre Donvale,DONVALE,3111,32,Exceeding NQS
Montessori Early Education Centre,DONVALE,3111,95,Exceeding NQS
Wonderworld Childcare & Kinder,BULLEEN,3105,60,Meeting NQS
