ServiceName,Suburb,Postcode,NumberOfApprovedPlaces,OverallRating
Camp Australia - Hartwell Primary School OSHC,CAMBERWELL,3124,80,Meeting NQS
Camp Australia - Trinity Grammar OSHC,KEW,3101,60,Meeting NQS
YMCA Wonthaggi Aquatic & Leisure Centre Vacation Care,WONTHAGGI,3995,30,Exceeding NQS
TeamKids - Auburn Primary,HAWTHORN EAST,3123,82,Meeting NQS
Valkstone Primary School Outside School Hours Care,BENTLEIGH EAST,3165,97,Working Towards NQS
Camp Australia - St Thomas More Primary School OSHC,MOUNT ELIZA,3930,30,Meeting NQS
Camp Australia - Peninsula Grammar OSHC,MOUNT ELIZA,3930,30,Meeting NQS
Shelford Girls' Grammar OSHC - Extend,CAULFIELD,3162,24,Meeting NQS
Camp Australia - Sacred Heart Parish School - Sandringham OSHC,SANDRINGHAM,3191,37,Meeting NQS
PEGS Vacation Care - Extend,ESSENDON,3040,60,Meeting NQS
St Monica's OSHClub,MOONEE PONDS,3039,60,Working Towards NQS
St Peter Chanel OSHClub,DEER PARK,3023,60,Exceeding NQS
TeamKids - South Yarra Primary,SOUTH YARRA,3141,72,Meeting NQS
Big Childcare - Keilor Heights Primary School OSHC,KEILOR EAST,3033,60,Meeting NQS
Seabrook OSHClub,SEABROOK,3028,132,Meeting NQS
Newport Gardens Primary OSHClub,NEWPORT,3015,112,Meeting NQS
Williamstown North OSHClub,WILLIAMSTOWN,3016,120,Meeting NQS
San Remo Primary School Outside School Hours Care,SAN REMO,3925,29,Working Towards NQS
After The Bell Aus- St Catherine’s Toorak,TOORAK,3142,134,Meeting NQS
St Michaels Grammar School,ST KILDA,3182,120,Meeting NQS
Queen of Peace OSHClub,ALTONA MEADOWS,3028,49,Meeting NQS
Aussie Kindies Early Learning Frankston,FRANKSTON,3199,65,Meeting NQS
St Augustines OSHClub,YARRAVILLE,3013,60,Exceeding NQS
Corpus Christi OSHClub,WEST FOOTSCRAY,3012,30,Meeting NQS
Williamstown OSHClub,WILLIAMSTOWN,3016,90,Exceeding NQS
Camp Australia - Altona North Primary School OSHC,ALTONA NORTH,3025,45,Meeting NQS
Warragul North Primary School Outside School Hours Care,WARRAGUL,3820,40,Exceeding NQS
Camp Australia - Moonee Ponds West Primary School OSHC,MOONEE PONDS,3039,120,Working Towards NQS
Camp Australia - Ascot Vale West Primary School OSHC,ASCOT VALE,3032,70,Meeting NQS
Camp Australia - Cairnlea Park Primary School OSHC,CAIRNLEA,3023,100,Working Towards NQS
Camp Australia - Caroline Springs Brookside P-9 College OSHC,CAROLINE SPRINGS,3023,120,Working Towards NQS
St Joseph's Primary School OSHC,MALVERN,3144,36,Exceeding NQS
Lockwood South Combined Outside School Hours Care,LOCKWOOD SOUTH,3551,15,Working Towards NQS
Camp Australia - Essendon Primary School OSHC,ESSENDON,3040,100,Meeting NQS
Pender's Grove Primary School Combined OSHC,THORNBURY,3071,45,Working Towards NQS
Camp Australia - Preston North East Primary School OSHC,PRESTON,3072,35,Working Towards NQS
Strathmore Nth PS TheirCare,STRATHMORE,3041,90,Meeting NQS
Youth Leadership Victoria - St Brendan's Primary School OSHC,FLEMINGTON,3031,24,Meeting NQS
TeamKids - Niddrie Primary,NIDDRIE,3042,79,Meeting NQS
Moonee Ponds OSHClub,MOONEE PONDS,3039,100,Meeting NQS
Strathmore PS TheirCare,STRATHMORE,3041,75,Working Towards NQS
Camp Australia - Kingsville Primary School OSHC,KINGSVILLE,3012,150,Meeting NQS
Camp Australia - Baden Powell P-9 College Derrimut Heath Campus OSHC,HOPPERS CROSSING,3029,60,Meeting NQS
Melton OSHClub,MELTON,3337,91,Meeting NQS
James Cook PS TheirCare,ENDEAVOUR HILLS,3802,30,Meeting NQS
Tylden Primary School OSHC,TYLDEN,3444,45,Exceeding NQS
St Mary of the Assumption OSHC Kealba,KEALBA,3021,30,Meeting NQS
Yarraville West Primary School OSHC Program,YARRAVILLE,3013,195,Meeting NQS
Camp Australia - Baden Powell P-9 College Tarneit OSHC,TARNEIT,3029,90,Meeting NQS
Camp Australia - Westbourne Grammar School OSHC,HOPPERS CROSSING,3029,100,Meeting NQS
Camp Australia - St Paul's Primary School OSHC,SUNSHINE WEST,3020,45,Exceeding NQS
Camp Australia - Iramoo Primary School OSHC,WYNDHAM VALE,3024,60,Meeting NQS
Camp Australia - St Mary's Altona Primary School OSHC,ALTONA,3018,80,Meeting NQS
Marlborough Primary School Out of School Care,HEATHMONT EAST,3135,52,Working Towards NQS
Camp Australia - Somerville Rise Primary School OSHC,SOMERVILLE,3912,45,Meeting NQS
"Pakenham Consolidated School Learn, Explore and Play",PAKENHAM,3810,135,Meeting NQS
Camp Australia - Somerville Primary School OSHC,SOMERVILLE,3912,45,Meeting NQS
TeamKids - McKinnon Primary,MCKINNON,3204,100,Meeting NQS
Cire Outside School Hours Care Yarra Junction,YARRA JUNCTION,3797,28,Exceeding NQS
Aspendale Gardens PS TheirCare,ASPENDALE GARDENS,3195,120,Meeting NQS
Camp Australia - Langwarrin Park Primary School OSHC,LANGWARRIN,3910,48,Meeting NQS
Camp Australia - Tucker Road Primary School OSHC,BENTLEIGH,3204,99,Exceeding NQS
Camp Australia - Coatesville Primary School OSHC,EAST BENTLEIGH,3165,150,Meeting NQS
St Mary’s Ascot Vale  CPS TheirCare,ASCOT VALE,3032,97,Meeting NQS
Camberwell Girls Grammar OSHC - Extend,CANTERBURY,3126,30,Meeting NQS
Camp Australia - Mount Waverley Primary School OSHC,MOUNT WAVERLEY,3149,170,Meeting NQS
Camp Australia - Sandringham Primary School OSHC,SANDRINGHAM,3191,85,Exceeding NQS
Robinvale Out of School Hours Program,ROBINVALE,3549,30,Exceeding NQS
Aberdeen Street Early Learning & Kinder,NEWTOWN,3220,72,Meeting NQS
Camp Australia - Kings Park Primary School OSHC,KINGS PARK,3021,45,Meeting NQS
St Peter's East Keilor OSHClub,KEILOR EAST,3033,53,Meeting NQS
Holy Saviour OSHC - Vermont South,VERMONT SOUTH,3133,45,Meeting NQS
Camp Australia - Templestowe Park Primary School OSHC,TEMPLESTOWE,3106,65,Meeting NQS
Camp Australia - Holy Eucharist School OSHC,ST ALBANS,3021,60,Meeting NQS
Swan Hill Out of School Hours,SWAN HILL,3585,70,Exceeding NQS
Play 'N' Grow Early Learning Centre and Kindergarten,CARRUM DOWNS,3201,67,Exceeding NQS
Camp Australia - Auburn South Primary School OSHC,HAWTHORN EAST,3123,110,Meeting NQS
Camp Australia - Templestowe Heights Primary School OSHC,TEMPLESTOWE LOWER,3107,45,Meeting NQS
Camp Australia - Selby Primary School OSHC,SELBY,3159,45,Exceeding NQS
Big Childcare - Kensington PS OSHC,KENSINGTON,3031,165,Meeting NQS
Lockwood Primary School Outside School Hours Care,LOCKWOOD,3551,30,Working Towards NQS
Kingswood College OSHClub,BOX HILL,3128,57,Meeting NQS
St Monica's Primary YMCA Outside School Hours Care,KANGAROO FLAT,3555,45,Meeting NQS
Doncaster Primary School OSHC - Extend,DONCASTER,3108,70,Meeting NQS
Camp Australia - Oakleigh South Primary School OSHC,OAKLEIGH SOUTH,3167,145,Meeting NQS
Camp Australia - Serpell Primary School OSHC,TEMPLESTOWE,3106,115,Exceeding NQS
Our Lady of the Pines OSHCLUB,DONVALE,3111,30,Meeting NQS
Camp Australia - Wattleview Primary School OSHC,FERNTREE GULLY,3156,45,Meeting NQS
Big Childcare - Keilor PS OSHC,KEILOR,3036,75,Exceeding NQS
Christ Church Grammar OSHC - Extend,SOUTH YARRA,3141,45,Meeting NQS
Camp Australia - St Gregory the Great School OSHC,DONCASTER,3108,49,Meeting NQS
Box Hill North Primary OSHClub,BOX HILL NORTH,3129,50,Meeting NQS
Knox Gardens Primary OSHClub,WANTIRNA SOUTH,3152,45,Exceeding NQS
Donvale Primary OSHClub,DONVALE,3111,45,Meeting NQS
Harkaway Primary School,HARKAWAY,3806,30,Working Towards NQS
Burwood Heights PS TheirCare,BURWOOD EAST,3151,50,Exceeding NQS
Camp Australia - St John Vianney Primary School OSHC,MULGRAVE,3170,60,Meeting NQS
Baby Bells Child Care Centre,ALTONA MEADOWS,3028,75,Working Towards NQS
Rye PS TheirCare,RYE,3941,75,Meeting NQS
Big Childcare - Parkwood Green PS OSHC,HILLSIDE,3037,392,Meeting NQS
Big Childcare - Sydenham/Hillside PS - Hillside Campus,HILLSIDE,3037,75,Exceeding NQS
Big Childcare – Sydenham/Hillside Sydenham Campus,SYDENHAM,3037,150,Exceeding NQS
Camp Australia - Lysterfield Primary School OSHC,LYSTERFIELD,3156,53,Meeting NQS
Camp Australia - St Leonards Primary School OSHC,GLEN WAVERLEY,3150,45,Meeting NQS
Holy Trinity CPS TheirCare,WANTIRNA SOUTH,3152,60,Meeting NQS
Eltham East Out of School Hours Care,ELTHAM,3095,120,Exceeding NQS
Blackburn PS TheirCare,BLACKBURN,3130,75,Exceeding NQS
Camp Australia - Yarra Road Primary School OSHC,CROYDON,3136,30,Meeting NQS
Camp Australia - Chatham Primary School OSHC,SURREY HILLS,3127,70,Meeting NQS
Complete Kids OSHC Killara,SUNBURY,3429,120,Meeting NQS
Glen Katherine Primary School Year Round Care Program,ELTHAM NORTH,3095,150,Meeting NQS
Camp Australia - Camelot Rise Primary School OSHC,GLEN WAVERLEY,3150,90,Meeting NQS
Camp Australia - Donburn Primary School OSHC,DONCASTER EAST,3109,60,Working Towards NQS
Kyabram P-12 College Outside School Hours Care,KYABRAM,3620,15,Working Towards NQS
Camp Australia - Heathmont East Primary School OSHC,HEATHMONT EAST,3135,80,Exceeding NQS
Camp Australia - St Jude the Apostle School OSHC,SCORESBY,3179,45,Meeting NQS
Camp Australia - St Andrews Primary School OSHC,WERRIBEE,3030,60,Meeting NQS
St Michael's PS OSHC - Extend,ASHBURTON,3147,50,Exceeding NQS
Camp Australia - Ferntree Gully North Primary School OSHC,FERNTREE GULLY,3156,45,Meeting NQS
Jells Park Primary OSHClub,WHEELERS HILL,3150,75,Meeting NQS
Cambridge Primary School Out Of School Hours Care Program,HOPPERS CROSSING,3029,160,Exceeding NQS
Camp Australia - Blackburn Lake Primary School OSHC,BLACKBURN,3130,75,Working Towards NQS
Camp Australia - Templeton Primary School OSHC,WANTIRNA,3152,95,Meeting NQS
Hurstbridge Primary OSHC,HURSTBRIDGE,3099,45,Meeting NQS
Camp Australia - Westbourne Grammar School Williamstown OSHC,NEWPORT,3015,60,Meeting NQS
Camp Australia - Mountain Gate Primary School OSHC,FERNTREE GULLY,3156,30,Exceeding NQS
Ivanhoe Primary Out of School Hours Care Program,IVANHOE,3079,150,Meeting NQS
Camp Australia - Scotch College OSHC,HAWTHORN,3122,30,Meeting NQS
Camp Australia - Burwood East Primary School OSHC,BURWOOD EAST,3151,80,Working Towards NQS
Montrose PS TheirCare,MONTROSE,3765,60,Exceeding NQS
Camp Australia - Glen Waverley Primary School OSHC,GLEN WAVERLEY,3150,120,Meeting NQS
Camp Australia - Holy Family Primary School OSHC,MOUNT WAVERLEY,3149,45,Meeting NQS
Tinternvale OSHClub,RINGWOOD EAST,3135,58,Exceeding NQS
Mitcham OSHClub,MITCHAM,3132,60,Meeting NQS
Camp Australia - Sacred Heart Oakleigh OSHC,OAKLEIGH SOUTH,3167,70,Meeting NQS
Good Shepherd Lutheran OSHClub,CROYDON HILLS,3136,45,Meeting NQS
Kelly Club OSHC Aitken College,GREENVALE,3059,85,Meeting NQS
Carey OSHClub Kew,KEW,3101,45,Exceeding NQS
Camp Australia - Brandon Park Primary School OSHC,WHEELERS HILL,3150,58,Meeting NQS
Camp Australia - Clayton North Primary School OSHC,CLAYTON NORTH,3168,45,Meeting NQS
Watsonia North Primary School Out of School Hours Program,WATSONIA,3087,90,Exceeding NQS
Big Childcare - Manor Lakes P-12 College OSHC,WYNDHAM VALE,3024,135,Meeting NQS
Camp Australia - Glendal Primary School OSHC,GLEN WAVERLEY,3150,120,Meeting NQS
Camp Australia - Ivanhoe Grammar OSHC,IVANHOE,3079,30,Meeting NQS
Camp Australia - Woodville Primary School OSHC,HOPPERS CROSSING,3029,73,Meeting NQS
Camp Australia - St Dominics Primary School OSHC,CAMBERWELL EAST,3124,56,Meeting NQS
Camp Australia - The Knox School OSHC,WANTIRNA SOUTH,3152,94,Meeting NQS
Camp Australia - Ruyton Girls Grammar OSHC,KEW,3101,30,Meeting NQS
TeamKids - Camberwell Primary,CAMBERWELL,3124,100,Exceeding NQS
Camp Australia - Genazzano Girls School OSHC,KEW,3101,30,Meeting NQS
Mildura West Primary OSHC,MILDURA,3500,60,Working Towards NQS
Essendon Fields Kinder Haven,ESSENDON,3040,120,Working Towards NQS
Camp Australia - Camberwell South Primary School OSHC,GLEN IRIS,3146,109,Meeting NQS
Camp Australia - Mooroolbark East Primary School OSHC,MOOROOLBARK,3138,45,Meeting NQS
Errol Street North Melbourne Primary Outside School Hours Care,NORTH MELBOURNE,3051,195,Exceeding NQS
Camp Australia - Bendigo Violet Street Primary School OSHC,BENDIGO,3550,37,Working Towards NQS
Stepping Stones - St Therese's OSHC,KENNINGTON,3550,60,Working Towards NQS
Camp Australia - Balwyn North Primary School OSHC,BALWYN NORTH,3104,45,Meeting NQS
Camp Australia - St Clement of Rome School OSHC,BULLEEN,3105,30,Meeting NQS
Carey Donvale OSHClub,DONVALE,3111,34,Meeting NQS
Camp Australia - Belle Vue Primary School OSHC,BALWYN NORTH,3104,40,Meeting NQS
Camp Australia - Springside Primary School OSHC,CAROLINE SPRINGS,3023,130,Exceeding NQS
Kialla Central Primary School,KIALLA,3631,19,Working Towards NQS
Toolamba Outside School Hours Care,TOOLAMBA,3614,27,Meeting NQS
Kialla West Primary School OSHC,SHEPPARTON,3630,45,Meeting NQS
Reservoir West Primary School Council,RESERVOIR,3073,90,Meeting NQS
Bentleigh Child Care,BENTLEIGH,3204,110,Meeting NQS
Camp Australia - St Joachims Primary School OSHC,CARRUM DOWNS,3201,55,Meeting NQS
Camp Australia - Cranbourne South Primary School OSHC,CRANBOURNE SOUTH,3977,37,Meeting NQS
Oakbrook Kindergarten,EPPING,3076,29,Meeting NQS
Camp Australia - St Kevins College Toorak OSHC,TOORAK,3142,45,Meeting NQS
Camp Australia - Mount Eliza North Primary School OSHC,MOUNT ELIZA,3930,60,Meeting NQS
Camp Australia - Ascot Vale Primary School OSHC,ASCOT VALE,3032,86,Meeting NQS
Camp Australia - Werribee Primary School OSHC,WERRIBEE,3030,60,Meeting NQS
Camp Australia - Ballam Park Primary School OSHC,FRANKSTON,3199,61,Meeting NQS
Our Lady of the Assumption Cheltenham OSHClub,CHELTENHAM,3192,49,Working Towards NQS
Camp Australia - Oatlands Primary School OSHC,NARRE WARREN,3805,120,Working Towards NQS
Camp Australia - Mount View Primary School OSHC,GLEN WAVERLEY,3150,135,Meeting NQS
Greenhills OSHClub,GREENSBOROUGH,3088,105,Exceeding NQS
Camp Australia - Fintona Girls School OSHC,BALWYN,3103,139,Meeting NQS
Camp Australia - Balcombe Grammar OSHC,MOUNT MARTHA,3934,18,Working Towards NQS
Beveridge Primary School Combined OSHC,BEVERIDGE,3753,125,Meeting NQS
St Benedict's PS OSHC - Extend,BURWOOD,3125,60,Meeting NQS
Team Holiday - City,MELBOURNE,3000,80,Working Towards NQS
Yarraman Oaks Primary School,NOBLE PARK,3174,30,Working Towards NQS
Stepping Stones Mooroopna OSHC,MOOROOPNA,3629,25,Working Towards NQS
Fairfield Primary School OSHClub,FAIRFIELD,3078,120,Meeting NQS
Camp Australia - St Thomas the Apostle Primary School OSHC,BLACKBURN,3130,75,Meeting NQS
Stepping Stones St Lukes OSHC,SHEPPARTON,3630,20,Meeting NQS
Huntly Primary School OSHC,HUNTLY,3551,30,Working Towards NQS
Camp Hill Primary School Out of Hours School Care,BENDIGO,3550,55,Meeting NQS
Camp Australia - Black Hill Primary School OSHC,BALLARAT,3350,60,Meeting NQS
Camp Australia - Mulgrave Primary School OSHC,MULGRAVE,3170,50,Meeting NQS
Seaholme Primary School Out of School Hours Care,ALTONA,3018,75,Working Towards NQS
Murchison Primary After Care,MURCHISON,3610,25,Meeting NQS
Academy For Kids Glen Waverley,GLEN WAVERLEY,3150,50,Working Towards NQS
Complete Kids Early Learning Centre,SUNBURY,3429,100,Meeting NQS
Macleod College OSHC,MACLEOD,3085,45,Meeting NQS
Melrose PS TheirCare,WODONGA,3690,63,Meeting NQS
Lowther Hall OSHClub,ESSENDON,3040,60,Working Towards NQS
Epping Views Primary School OSHC,EPPING,3076,165,Working Towards NQS
TeamKids - Port Melbourne Primary,PORT MELBOURNE,3207,101,Meeting NQS
TeamKids - Lloyd Street Primary,MALVERN EAST,3145,258,Meeting NQS
Malvern Central School TheirCare,MALVERN,3144,45,Meeting NQS
Camp Australia – Kingswood Primary School OSHC,DINGLEY VILLAGE,3172,75,Meeting NQS
Camp Australia - Black Rock Primary School OSHC,BLACK ROCK,3193,70,Meeting NQS
Bellbridge OSHClub,HOPPERS CROSSING,3029,145,Meeting NQS
Camp Australia - Haileybury Edrington OSHC,BERWICK,3806,110,Exceeding NQS
Camp Australia - Haileybury Newlands OSHC,KEYSBOROUGH,3173,117,Meeting NQS
Camp Australia - Mentone Grammar OSHC,MENTONE,3194,55,Meeting NQS
Camp Australia - St Margarets Berwick OSHC,BERWICK,3806,53,Exceeding NQS
After The Bell Aus-Melbourne Girls Grammar School Junior Campus OSHC,SOUTH YARRA,3141,45,Working Towards NQS
Camp Australia - Albert Park Primary School OSHC,ALBERT PARK,3206,85,Working Towards NQS
Camp Australia - Toorak College OSHC,MOUNT ELIZA,3930,109,Exceeding NQS
Camp Australia - Geelong Grammar School Toorak Campus OSHC,TOORAK,3142,151,Meeting NQS
Camp Australia - Narre Warren North Primary School OSHC,NARRE WARREN NORTH,3804,40,Meeting NQS
Camp Australia - Brentwood Park Primary School OSHC,BERWICK,3806,80,Meeting NQS
Camp Australia - St Kevin's Hampton Park OSHC,HAMPTON PARK,3976,60,Meeting NQS
Camp Australia - St Mark's Primary School OSHC,DINGLEY VILLAGE,3172,60,Meeting NQS
Maramba PS TheirCare,NARRE WARREN,3805,60,Meeting NQS
Galilee Regional CPS TheirCare,SOUTH MELBOURNE,3205,70,Meeting NQS
Camp Australia - Loreto College Mandeville Hall OSHC,TOORAK,3142,50,Meeting NQS
Camp Australia - Beaumaris Primary School OSHC,BEAUMARIS,3193,60,Meeting NQS
Malvern Valley Primary School OSHC,MALVERN EAST,3145,60,Working Towards NQS
TeamKids - Caulfield South Primary,CAULFIELD,3162,62,Meeting NQS
Camp Australia - Red Hill Consolidated School OSHC,RED HILL,3937,48,Meeting NQS
Camp Australia - Dromana Primary School OSHC,DROMANA,3936,50,Meeting NQS
Camp Australia - Kunyung Primary School OSHC,MOUNT ELIZA,3930,60,Meeting NQS
Camp Australia - Gardenvale Primary School OSHC,BRIGHTON EAST,3187,70,Meeting NQS
Camp Australia - Woodleigh School Penbank Campus OSHC,MOOROODUC,3933,30,Meeting NQS
Camp Australia - Balnarring Primary School OSHC,BALNARRING,3926,30,Meeting NQS
Camp Australia - Aspendale Primary School OSHC,ASPENDALE,3195,75,Meeting NQS
Camp Australia - Pearcedale Primary School OSHC,PEARCEDALE,3912,70,Meeting NQS
Westmeadows PS TheirCare,WESTMEADOWS,3049,75,Meeting NQS
Pyalong Primary School Before & After School Care,PYALONG,3521,14,Meeting NQS
Camp Australia - Mordialloc Beach Primary School OSHC,MORDIALLOC,3195,75,Exceeding NQS
Camp Australia - Berwick Fields Primary School OSHC,BERWICK,3806,100,Meeting NQS
Concord Watsonia School TheirCare,WATSONIA,3087,56,Meeting NQS
Big Childcare - Overnewton ACC Keilor OSHC,KEILOR,3036,75,Meeting NQS
Camp Australia - St James the Apostle Primary School OSHC,HOPPERS CROSSING,3029,130,Meeting NQS
Camp Australia - Reservoir Views Primary School OSHC,RESERVOIR,3073,30,Working Towards NQS
School Support Services - Herne Hill OSHC Program,GEELONG NORTH,3215,61,Meeting NQS
Thornbury Primary School Combined OSHC,THORNBURY,3071,90,Meeting NQS
Red Cliffs Primary School Council Out of School Hours Care,RED CLIFFS,3496,50,Working Towards NQS
OSHClub Spotswood Primary School,SPOTSWOOD,3015,47,Exceeding NQS
St Kilda PS TheirCare,ST KILDA,3182,120,Meeting NQS
TeamKids - Berwick Chase Primary,BERWICK,3806,100,Meeting NQS
Camp Australia - Chelsea Heights Primary School OSHC,CHELSEA HEIGHTS,3196,57,Meeting NQS
Camp Australia - Coral Park Primary School OSHC,HAMPTON PARK,3976,32,Meeting NQS
Camp Australia - Cheltenham East Primary School OSHC,CHELTENHAM,3192,60,Meeting NQS
Camp Australia - Bentleigh West Primary School OSHC,BENTLEIGH,3204,90,Meeting NQS
Warrandyte CommunityOSH,WARRANDYTE,3113,30,Exceeding NQS
Westgarth Primary School Combined OSHC,NORTHCOTE,3070,180,Working Towards NQS
St Vincent de Paul TheirCare,STRATHMORE,3041,80,Meeting NQS
Ivanhoe East OSHClub,IVANHOE EAST,3079,90,Meeting NQS
Andersons Creek Road Early Learning & Kinder,DONCASTER EAST,3109,61,Meeting NQS
Maiden Gully Primary School OSH Care,MAIDEN GULLY,3551,70,Working Towards NQS
Greensborough OSHClub,GREENSBOROUGH,3088,35,Exceeding NQS
Koala Early Learning - Mt Waverley,MOUNT WAVERLEY,3149,80,Meeting NQS
Camp Australia - Great Ryrie Primary School OSHC,HEATHMONT EAST,3135,60,Meeting NQS
Camp Australia - Streeton Primary School OSHC,YALLAMBIE,3085,60,Exceeding NQS
Kurunjang OSHClub,KURUNJANG,3337,30,Meeting NQS
St Joseph's School OSHC,HAWTHORN,3122,60,Meeting NQS
St Thomas Apostle OSHClub,GREENSBOROUGH,3088,60,Exceeding NQS
Kinglake West Combined Outside School Hours Care,KINGLAKE CENTRAL,3757,30,Meeting NQS
Camp Australia - Kingsley Park Primary OSHC,FRANKSTON,3199,75,Meeting NQS
Kinglake Primary School Combined OSHC,KINGLAKE,3763,48,Meeting NQS
Camp Australia - Karingal Primary School OSHC,KARINGAL,3199,90,Meeting NQS
Eltham College OSHC,RESEARCH,3095,60,Meeting NQS
St. Francis of the Fields Primary YMCA Outside School Hours Care,STRATHFIELDSAYE,3551,60,Meeting NQS
Fish Creek Kindergarten,FISH CREEK,3959,28,Exceeding NQS
Camp Australia - St Joseph's Primary School - Bendigo OSHC,BENDIGO,3550,34,Meeting NQS
Toora Kindergarten,TOORA,3962,22,Exceeding NQS
Welshpool Kindergarten,WELSHPOOL,3966,23,Working Towards NQS
Mildura South Primary School Council Out of School Hours Program,MILDURA SOUTH,3501,75,Working Towards NQS
Diamond Creek East OSHC,DIAMOND CREEK,3089,78,Working Towards NQS
Ormond Primary School Out of School Hours Care,ORMOND,3204,90,Working Towards NQS
Hillcrest OSHClub,CLYDE,3978,60,Meeting NQS
Southmoor Primary School OSHC,MOORABBIN,3189,125,Meeting NQS
Mt Macedon Primary School Combined OSHC,MOUNT MACEDON,3441,20,Meeting NQS
Richmond OSHClub,RICHMOND,3121,200,Meeting NQS
Mount Beauty Primary School OSHC,MOUNT BEAUTY,3699,30,Meeting NQS
Middle Kinglake Primary School Combined OSHC,KINGLAKE CENTRAL,3757,30,Meeting NQS
St Kilian's Primary YMCA Outside School Hours Care,BENDIGO,3550,60,Meeting NQS
Camp Australia - Kennington Primary School OSHC,KENNINGTON,3550,100,Working Towards NQS
Footscray PS TheirCare,FOOTSCRAY,3011,75,Meeting NQS
Strathfieldsaye OSHClub,STRATHFIELDSAYE,3551,60,Meeting NQS
Camp Australia - White Hills Primary  School OSHC,WHITE HILLS,3550,45,Meeting NQS
Upwey South Primary School OSHC,UPWEY,3158,60,Working Towards NQS
Park Orchards OSHClub,PARK ORCHARDS,3114,45,Meeting NQS
Riddells Creek Primary Outside School Hours Care,RIDDELLS CREEK,3431,45,Meeting NQS
New Gisborne Primary Outside School Hours Care,NEW GISBORNE,3437,100,Working Towards NQS
Camp Australia - Thomastown Meadows Primary School OSHC,THOMASTOWN,3074,30,Meeting NQS
Camp Australia - Diamond Creek Primary School OSHC,DIAMOND CREEK,3089,37,Meeting NQS
Nido Early School Lara,LARA,3212,103,Meeting NQS
Heany Park OSHClub,ROWVILLE,3178,75,Exceeding NQS
St Francis Xavier OSHClub,MONTMORENCY,3094,60,Exceeding NQS
Glenroy West Primary OSHC,GLENROY,3046,60,Meeting NQS
Bell Primary OSHClub,PRESTON,3072,85,Meeting NQS
Boronia Heights OSHCLUB,BORONIA,3155,90,Meeting NQS
Kangaroo Ground Primary Combined OSHC,KANGAROO GROUND,3097,50,Meeting NQS
Camp Australia - Craigieburn South Primary OSHC,CRAIGIEBURN,3064,60,Meeting NQS
Camp Australia - Kingston Heath Primary School OSHC,CHELTENHAM,3192,65,Exceeding NQS
Camp Australia - Mentone Girls' Grammar School OSHC,MENTONE,3194,36,Meeting NQS
Silverton Primary School OSH Care,NOBLE PARK NORTH,3174,75,Working Towards NQS
YMCA Ballarat - Alfredton OSHC,ALFREDTON,3350,45,Working Towards NQS
Mt Martha Primary School Out of School Hours Care Program,MOUNT MARTHA,3934,60,Meeting NQS
Camp Australia - Spring Gully Primary School OSHC,SPRING GULLY,3550,60,Working Towards NQS
St Joseph's OSHClub Elsternwick,ELSTERNWICK,3185,75,Meeting NQS
St Andrew's Primary School - OSHC,CLAYTON SOUTH,3169,70,Meeting NQS
Carnegie Primary School - OSHC,CARNEGIE,3163,100,Meeting NQS
Eltham North P.S Outside School Hours Care,ELTHAM,3095,104,Exceeding NQS
Mentone Park OSHClub,MENTONE,3194,60,Meeting NQS
Camp Australia - Parkdale Primary School OSHC,PARKDALE,3195,100,Meeting NQS
Complete Kids OSHC Heights,SUNBURY,3429,90,Meeting NQS
Sandringham East PS OSHC - Extend,SANDRINGHAM,3191,102,Exceeding NQS
Kismet Park PS OSHC - Extend,SUNBURY,3429,90,Meeting NQS
Merri Creek Primary School Out of School Hours Care,FITZROY NORTH,3068,160,Exceeding NQS
YOSH,RICHMOND,3121,80,Meeting NQS
Camp Australia - Kardinia International College OSHC,BELL POST HILL,3215,49,Meeting NQS
Our Lady of Lourdes Parish (Bayswater) Combined OSHC,BAYSWATER,3153,45,Meeting NQS
Camp Australia - Hamlyn Banks Primary School OSHC,HAMLYN HEIGHTS,3215,45,Meeting NQS
Camp Australia - Manifold Heights Primary School OSHC,MANIFOLD HEIGHTS,3218,75,Meeting NQS
Clairvaux CPS TheirCare,BELMONT,3216,80,Meeting NQS
Yarralea Children's Centre,ALPHINGTON,3078,44,Exceeding NQS
Dederang Primary School OSHC,DEDERANG,3691,30,Meeting NQS
Camp Australia - Lara Primary School OSHC,LARA,3212,43,Meeting NQS
Team Holiday - Eltham Leisure Centre,ELTHAM,3095,108,Meeting NQS
Tawonga Primary School OSHC,TAWONGA,3697,30,Meeting NQS
Carrum Family & Children’s Hub,CARRUM,3197,149,Exceeding NQS
St Anthony's OSHC,NOBLE PARK,3174,30,Working Towards NQS
St Roch's OSHC,GLEN IRIS,3146,24,Meeting NQS
Trinity OSHC,NARRE WARREN SOUTH,3805,70,Meeting NQS
St Elizabeth OSHC,DANDENONG,3175,60,Meeting NQS
Mont Albert OSHClub,MONT ALBERT,3127,110,Working Towards NQS
Big Hill Primary School Combined OSHC,BIG HILL,3555,45,Meeting NQS
St Joseph's Springvale OSHC,SPRINGVALE SOUTH,3172,45,Working Towards NQS
St Mary Mackillop OSHC,NARRE WARREN NORTH,3804,60,Meeting NQS
California Gully Primary School Outside School Hours Care,CALIFORNIA GULLY,3556,20,Working Towards NQS
Camp Australia - Pleasant Street Primary School OSHC,BALLARAT,3350,70,Meeting NQS
St Mary's Primary School - OSHC,DANDENONG,3175,37,Meeting NQS
Just Kids Appin Park After School Care,WANGARATTA,3677,35,Meeting NQS
